,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Trans_Amt,Total_Trans_Ct,avg_spend,cluster_label,Education_Level,Card_Category
917,45,3,2,14699.0,1049,0.071,4890.0,64,76.40625,1,High School,Blue
1257,45,3,2,30899.0,0,0.0,1481.0,20,74.05,1,Unknown,Silver
1267,49,5,2,1443.0,0,0.0,4673.0,59,79.20338983050847,1,Uneducated,Blue
1324,45,5,1,24287.0,1676,0.069,5495.0,69,79.6376811594203,1,High School,Blue
1887,28,3,1,1438.3,0,0.0,4482.0,54,83.0,1,College,Blue
2588,49,2,2,1719.0,0,0.0,4869.0,65,74.9076923076923,1,Uneducated,Blue
2615,36,2,2,6224.0,2201,0.354,7693.0,70,109.9,1,High School,Gold
2616,15,3,2,6078.0,1478,0.243,8442.0,95,88.86315789473684,1,College,Blue
2626,23,3,2,7253.0,0,0.0,7595.0,83,91.50602409638554,1,High School,Blue
2631,44,3,2,34516.0,1925,0.056,8012.0,87,92.0919540229885,1,Doctorate,Platinum
2632,27,2,2,24965.0,2517,0.101,7866.0,84,93.64285714285714,1,High School,Blue
2644,30,3,1,5494.0,2142,0.39,8328.0,78,106.76923076923077,1,Graduate,Blue
2645,31,2,1,1946.0,1183,0.608,8423.0,82,102.71951219512195,1,Graduate,Blue
2646,47,2,1,6228.0,1738,0.279,8284.0,77,107.58441558441558,1,High School,Blue
2647,36,2,3,7350.0,1360,0.185,7679.0,64,119.984375,1,High School,Blue
2650,28,2,2,9243.0,2019,0.218,7841.0,82,95.6219512195122,1,College,Blue
2654,45,2,2,23070.0,1701,0.074,8070.0,81,99.62962962962963,1,Graduate,Blue
2659,48,1,2,34516.0,1542,0.045,7443.0,98,75.94897959183673,1,Doctorate,Silver
2663,38,2,3,10741.0,2517,0.234,8352.0,71,117.63380281690141,1,College,Silver
2669,42,2,2,5168.0,2265,0.438,8211.0,80,102.6375,1,Uneducated,Blue
2671,24,2,1,33441.0,686,0.021,8452.0,83,101.83132530120481,1,Graduate,Silver
2673,28,2,2,2838.0,1934,0.681,8644.0,87,99.35632183908046,1,Unknown,Blue
2674,25,1,2,9043.0,1974,0.218,4638.0,48,96.625,1,Post-Graduate,Blue
2676,26,1,1,22054.0,1146,0.052,8055.0,82,98.23170731707317,1,Unknown,Silver
2678,46,2,1,10795.0,0,0.0,7855.0,81,96.9753086419753,1,Unknown,Blue
2682,16,2,2,32292.0,1731,0.054,7564.0,76,99.52631578947368,1,Graduate,Silver
2683,27,1,3,2437.0,1718,0.705,8028.0,77,104.25974025974025,1,College,Blue
2697,24,2,2,34516.0,1022,0.03,8202.0,88,93.20454545454545,1,Uneducated,Blue
2703,38,2,2,2550.0,1421,0.557,8063.0,72,111.98611111111111,1,Graduate,Blue
2704,47,2,2,13769.0,0,0.0,4738.0,53,89.39622641509433,1,College,Blue
2706,29,1,1,4660.0,1844,0.396,8571.0,84,102.03571428571429,1,Doctorate,Blue
2708,29,2,2,9357.0,1942,0.208,7971.0,84,94.89285714285714,1,Graduate,Blue
2710,42,2,1,31782.0,0,0.0,4800.0,53,90.56603773584905,1,Graduate,Blue
2711,45,2,1,34516.0,1466,0.042,7223.0,87,83.02298850574712,1,Unknown,Blue
2723,43,2,1,7037.0,0,0.0,7678.0,93,82.55913978494624,1,Graduate,Blue
2731,44,2,2,11954.0,0,0.0,7345.0,93,78.97849462365592,1,Unknown,Blue
2733,22,2,1,34516.0,1595,0.046,8871.0,97,91.45360824742268,1,Uneducated,Blue
2740,39,1,1,2771.0,1779,0.642,8268.0,73,113.26027397260275,1,Unknown,Blue
2743,36,1,3,10908.0,0,0.0,4883.0,42,116.26190476190476,1,High School,Blue
2761,26,1,1,34516.0,1559,0.045,8888.0,104,85.46153846153847,1,Unknown,Platinum
2770,23,2,2,10850.0,1873,0.173,13794.0,122,113.06557377049181,1,Uneducated,Silver
2779,16,1,3,15795.0,1742,0.11,13173.0,96,137.21875,1,High School,Blue
2781,47,2,3,6146.0,2210,0.36,12956.0,97,133.56701030927834,1,Graduate,Blue
2783,26,1,2,3879.0,0,0.0,7786.0,81,96.12345679012346,1,College,Blue
2784,28,1,3,12773.0,1637,0.128,14833.0,114,130.1140350877193,1,Graduate,Blue
2785,44,2,2,12518.0,1722,0.138,14276.0,96,148.70833333333334,1,Unknown,Silver
2786,55,2,1,3773.0,0,0.0,14264.0,118,120.88135593220339,1,Graduate,Blue
2787,41,1,1,3108.0,1978,0.636,14965.0,122,122.6639344262295,1,High School,Blue
2788,47,1,3,3733.0,1620,0.434,15200.0,118,128.8135593220339,1,Uneducated,Blue
2790,32,1,3,12033.0,1025,0.085,12603.0,106,118.89622641509433,1,Graduate,Silver
2791,20,1,3,9761.0,1470,0.151,14334.0,97,147.77319587628867,1,Unknown,Blue
2793,35,2,3,33889.0,1203,0.035,14954.0,112,133.51785714285714,1,Unknown,Silver
2794,42,1,1,33552.0,1252,0.037,14490.0,98,147.85714285714286,1,Uneducated,Blue
2796,45,1,1,14803.0,985,0.067,14426.0,87,165.816091954023,1,Graduate,Blue
2797,44,2,2,11605.0,1470,0.127,12592.0,117,107.62393162393163,1,High School,Silver
2798,22,2,1,3329.0,0,0.0,13109.0,114,114.99122807017544,1,Uneducated,Blue
2799,43,2,2,29394.0,1002,0.034,14901.0,92,161.9673913043478,1,High School,Blue
2800,36,2,3,4023.0,1437,0.357,12510.0,96,130.3125,1,High School,Blue
2801,34,2,2,31699.0,1976,0.062,13653.0,113,120.82300884955752,1,Graduate,Silver
2802,41,1,1,3429.0,1779,0.519,14107.0,99,142.4949494949495,1,College,Blue
2803,36,5,3,34516.0,2292,0.066,8045.0,71,113.30985915492958,1,High School,Silver
2804,27,1,2,2490.0,1059,0.425,12257.0,101,121.35643564356435,1,Uneducated,Blue
2805,36,6,2,33870.0,0,0.0,7661.0,61,125.59016393442623,1,Uneducated,Blue
2807,36,2,1,17540.0,1337,0.076,14244.0,96,148.375,1,Uneducated,Blue
2808,36,1,1,3785.0,1329,0.351,15209.0,104,146.2403846153846,1,Graduate,Blue
2810,36,2,2,20434.0,1504,0.074,13280.0,106,125.28301886792453,1,Graduate,Blue
2811,38,1,1,29531.0,2088,0.071,15039.0,120,125.325,1,Graduate,Silver
2812,36,1,1,3730.0,0,0.0,13997.0,102,137.22549019607843,1,Uneducated,Blue
2813,19,1,1,22725.0,808,0.036,13847.0,120,115.39166666666667,1,Unknown,Gold
2814,36,1,2,10492.0,1094,0.104,13764.0,104,132.34615384615384,1,Uneducated,Blue
2815,49,1,3,6380.0,2517,0.395,13945.0,97,143.76288659793815,1,High School,Blue
2817,36,1,3,3515.0,0,0.0,15079.0,116,129.99137931034483,1,Graduate,Blue
2818,36,2,2,23981.0,1408,0.059,14455.0,96,150.57291666666666,1,Graduate,Gold
2819,34,1,2,33874.0,1473,0.043,13753.0,98,140.33673469387756,1,Unknown,Silver
2820,36,2,1,3175.0,1116,0.351,14071.0,101,139.31683168316832,1,High School,Blue
2821,28,1,2,13679.0,2267,0.166,15180.0,103,147.37864077669903,1,Unknown,Blue
2822,36,1,3,14767.0,948,0.064,13090.0,104,125.86538461538461,1,Uneducated,Silver
2823,24,1,1,32535.0,1722,0.053,15695.650000000001,116,135.3073275862069,1,High School,Silver
2824,35,2,1,3214.0,1471,0.458,14557.0,114,127.69298245614036,1,Unknown,Blue
2825,33,2,2,34516.0,1848,0.054,14149.0,103,137.36893203883494,1,College,Gold
2826,27,2,2,7680.0,1589,0.207,13617.0,105,129.68571428571428,1,Graduate,Blue
2827,19,1,1,34516.0,1131,0.033,14716.0,112,131.39285714285714,1,College,Silver
2828,40,1,3,22104.0,1783,0.081,13830.0,112,123.48214285714286,1,Uneducated,Blue
2829,50,1,1,34516.0,1341,0.039,13988.0,122,114.65573770491804,1,High School,Blue
2830,36,2,3,19252.0,751,0.039,14074.0,112,125.66071428571429,1,Unknown,Blue
2831,20,1,2,3232.0,1564,0.484,13142.0,112,117.33928571428571,1,Unknown,Blue
2832,36,2,1,34516.0,1421,0.041,14465.0,114,126.8859649122807,1,Uneducated,Platinum
2833,24,2,3,20466.0,1138,0.056,15121.0,97,155.88659793814432,1,Unknown,Blue
