,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Trans_Amt,Total_Trans_Ct,avg_spend,cluster_label,Education_Level,Card_Category
0,34,3,4,3313.0,2517,0.76,1171.0,20,58.55,0,High School,Blue
1,36,3,1,4010.0,1247,0.311,1088.0,24,45.333333333333336,0,Graduate,Blue
2,27,2,2,29081.0,1396,0.048,1538.0,36,42.72222222222222,0,High School,Silver
4,48,5,2,2436.0,680,0.279,1570.0,29,54.13793103448276,0,Graduate,Blue
5,34,5,2,10100.0,0,0.0,1052.0,19,55.36842105263158,0,Uneducated,Blue
6,42,6,1,4785.0,1362,0.285,1045.0,38,27.5,0,High School,Blue
7,33,3,2,2753.0,1811,0.658,1038.0,25,41.52,0,Unknown,Blue
10,49,3,3,3672.0,886,0.241,1464.0,28,52.285714285714285,0,Graduate,Blue
11,41,2,2,32426.0,578,0.018,1109.0,28,39.607142857142854,0,Graduate,Blue
12,44,4,1,6205.0,2204,0.355,1347.0,28,48.107142857142854,0,Unknown,Blue
13,30,3,2,34516.0,0,0.0,1444.0,28,51.57142857142857,0,Uneducated,Blue
15,40,2,3,1438.3,808,0.562,882.0899999999999,19,46.425789473684205,0,Graduate,Blue
16,34,4,4,3336.0,1753,0.525,1168.0,27,43.25925925925926,0,High School,Blue
19,52,5,3,6584.0,1817,0.276,1353.0,35,38.65714285714286,0,College,Blue
20,38,6,2,25300.0,1330,0.053,882.0899999999999,19,46.425789473684205,0,Doctorate,Blue
21,42,3,2,34516.0,1763,0.051,1550.0,41,37.80487804878049,0,Graduate,Blue
24,30,6,1,2536.0,1823,0.719,1468.0,23,63.82608695652174,0,Graduate,Blue
26,36,6,2,34516.0,1533,0.044,1603.0,29,55.275862068965516,0,Unknown,Blue
30,28,5,1,2535.0,2440,0.91323,1312.0,20,65.6,0,Unknown,Blue
31,32,3,3,3031.0,1879,0.62,1298.0,19,68.3157894736842,0,Graduate,Blue
36,36,5,1,3263.0,1674,0.513,1251.0,35,35.74285714285714,0,High School,Blue
37,36,4,1,3174.0,1951,0.615,1243.0,29,42.86206896551724,0,Doctorate,Blue
39,36,5,1,2393.0,1985,0.83,978.0,19,51.473684210526315,0,Graduate,Blue
40,43,3,1,3710.0,2517,0.678,1578.0,34,46.411764705882355,0,Graduate,Blue
41,37,2,1,3235.0,797,0.246,1493.0,32,46.65625,0,Doctorate,Blue
42,24,4,1,9366.0,1104,0.118,1303.0,39,33.41025641025641,0,High School,Blue
43,47,4,2,2154.0,930,0.432,1439.0,26,55.34615384615385,0,College,Blue
